rulesText,typeLine,setCode,cardNumber,cost,power,toughness,Title,newText
"Generated effect for card 1.\nIf this is a bulk test, card 1 validates row-level rendering.",CREATURE - TESTER,SMO,00001/500,2,2,4,Card 1,Variant 1
"Generated effect for card 2.\nIf this is a bulk test, card 2 validates row-level rendering.",CREATURE - TESTER,SMO,00002/500,3,3,5,Card 2,Variant 2
"Generated effect for card 3.\nIf this is a bulk test, card 3 validates row-level rendering.",CREATURE - TESTER,SMO,00003/500,4,4,6,Card 3,Variant 3
"Generated effect for card 4.\nIf this is a bulk test, card 4 validates row-level rendering.",CREATURE - TESTER,SMO,00004/500,5,5,7,Card 4,Variant 4
"Generated effect for card 5.\nIf this is a bulk test, card 5 validates row-level rendering.",CREATURE - TESTER,SMO,00005/500,6,6,1,Card 5,Variant 5
"Generated effect for card 6.\nIf this is a bulk test, card 6 validates row-level rendering.",CREATURE - TESTER,SMO,00006/500,7,7,2,Card 6,Variant 6
"Generated effect for card 7.\nIf this is a bulk test, card 7 validates row-level rendering.",CREATURE - TESTER,SMO,00007/500,8,1,3,Card 7,Variant 7
"Generated effect for card 8.\nIf this is a bulk test, card 8 validates row-level rendering.",CREATURE - TESTER,SMO,00008/500,9,2,4,Card 8,Variant 8
"Generated effect for card 9.\nIf this is a bulk test, card 9 validates row-level rendering.",CREATURE - TESTER,SMO,00009/500,1,3,5,Card 9,Variant 9
"Generated effect for card 10.\nIf this is a bulk test, card 10 validates row-level rendering.",CREATURE - TESTER,SMO,00010/500,2,4,6,Card 10,Variant 10
"Generated effect for card 11.\nIf this is a bulk test, card 11 validates row-level rendering.",CREATURE - TESTER,SMO,00011/500,3,5,7,Card 11,Variant 11
"Generated effect for card 12.\nIf this is a bulk test, card 12 validates row-level rendering.",CREATURE - TESTER,SMO,00012/500,4,6,1,Card 12,Variant 12
"Generated effect for card 13.\nIf this is a bulk test, card 13 validates row-level rendering.",CREATURE - TESTER,SMO,00013/500,5,7,2,Card 13,Variant 13
